date,belem,carateua,co_arapiranga,combu,cotijuba,da-barra,da-cintra,das-oncas,grande,jutuba,mirim,mosqueiro,murucutu,paqueta,sao-pedro
2019-01-01,3.6002141366241235e-05,3.994916566439826e-05,3.131019786795267e-05,3.516047305763129e-05,3.64936285480653e-05,3.623148104560784e-05,3.512119906060039e-05,3.215648899423498e-05,3.414432477591265e-05,3.204701427769685e-05,3.3332435831518084e-05,3.219558565928359e-05,3.458451065087921e-05,3.2047013519331806e-05,4.0976058709935034e-05
2019-01-02,3.4300690084966594e-05,3.697050462933227e-05,3.593887384249956e-05,3.813280958530358e-05,3.773133464993229e-05,4.12875920521027e-05,3.682745053906581e-05,3.426236335489524e-05,4.299716932519956e-05,3.647258927230723e-05,3.741963382864807e-05,3.9145576285141994e-05,4.2775545903906047e-05,3.65997191713748e-05,3.54876844745247e-05
2019-01-03,4.000776511032626e-05,3.139508411313185e-05,3.5983876690869834e-05,2.944030107680448e-05,3.339187904274172e-05,3.654979289962549e-05,2.919473083490795e-05,4.365920256091823e-05,3.18569838423743e-05,2.970583212496623e-05,3.991633562935998e-05,3.7196181048495383e-05,2.455235842586559e-05,3.9596006225330525e-05,5.5518077582113185e-05
2019-01-04,3.351951380556174e-05,4.024589583721866e-05,4.8035198431223753e-05,3.4896990608778064e-05,3.551892917776663e-05,3.2701501788412204e-05,3.5916257387210835e-05,3.545940691257714e-05,4.304988288654355e-05,2.88681425573131e-05,4.940489904374718e-05,3.557203806363407e-05,4.007173165940416e-05,2.8447703928066997e-05,3.6371907097114796e-05
2019-01-05,3.6541476888611704e-05,3.694382583366971e-05,4.11337427529291e-05,4.007271106297478e-05,4.082099455202383e-05,4.802165839845515e-05,4.119431592562244e-05,3.414041246178139e-05,3.3879124526634195e-05,3.0483671590396403e-05,3.121701065704598e-05,3.4179860117182995e-05,3.4823775996204525e-05,3.158354035322053e-05,3.984013931111905e-05
2019-01-06,3.59396829863373e-05,3.537947526367365e-05,3.51870052731117e-05,3.3002154626227424e-05,3.747438871733246e-05,3.279572461813165e-05,3.896359905872371e-05,3.221345870382096e-05,3.119327238716018e-05,3.815982332639195e-05,3.6457211823148553e-05,3.4412303269536425e-05,2.940420199593063e-05,3.90688772917369e-05,3.554500316625089e-05
2019-01-07,3.42617805247667e-05,3.7885350509490824e-05,3.8651695441447525e-05,2.916446587290032e-05,3.712024919013629e-05,3.752534760038251e-05,2.9476066965262034e-05,3.1128518266674935e-05,3.071877074553123e-05,3.871982577917863e-05,3.890246094481176e-05,3.853138178092409e-05,2.9367955280908615e-05,4.0200545459626646e-05,3.8234401734347035e-05
2019-01-08,3.2583878063196096e-05,4.0391225755307996e-05,4.211638560978334e-05,2.532677711957322e-05,3.676610966294011e-05,4.225497058263336e-05,1.998853487180036e-05,3.004357782952891e-05,3.0244269103902272e-05,3.927982823196531e-05,4.134771006647497e-05,4.265046029231176e-05,2.9331708565886602e-05,4.13322136275164e-05,4.092380030244318e-05
2019-01-09,4.165694072844361e-05,3.8935054234371794e-05,4.6187042238032655e-05,3.458974100384902e-05,2.8188819148209423e-05,4.6984593564884224e-05,4.073527883665088e-05,4.206981460375094e-05,3.6397551441351916e-05,3.1913678734540045e-05,3.821390245593496e-05,3.585992417672519e-05,3.341362513377187e-05,3.585352091713554e-05,3.768720831801475e-05
2019-01-10,4.771602299553248e-05,4.401163639614149e-05,4.533083715353908e-05,4.5465374888227475e-05,3.7865197878656885e-05,4.888744408432218e-05,4.2417313102143364e-05,4.627291651512742e-05,4.315771116409819e-05,4.334548118702089e-05,4.146998269700798e-05,4.142294635120299e-05,4.433599780862974e-05,4.091913875054102e-05,3.766398070705424e-05
2019-01-11,3.883817505243646e-05,3.686925781563397e-05,4.5252821569506795e-05,3.957743212269382e-05,3.378053792834222e-05,4.377377626951784e-05,4.17030841055261e-05,3.672096536519532e-05,3.898682614440311e-05,3.389476660228288e-05,3.863665018121597e-05,2.737892682120593e-05,4.035791570008297e-05,3.720150000563816e-05,3.301498507367418e-05
